Happiness Rank,Country,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption),Region,Dystopia.Residual
1,Finland,7.769,1.34,1.587,0.986,0.596,0.153,0.393,Western Europe,2.7140000000000004
2,Denmark,7.6,1.383,1.573,0.996,0.592,0.252,0.41,Western Europe,2.394
3,Norway,7.554,1.488,1.582,1.028,0.603,0.271,0.341,Western Europe,2.2409999999999997
4,Iceland,7.494,1.38,1.624,1.026,0.591,0.354,0.118,Western Europe,2.400999999999999
5,Netherlands,7.488,1.396,1.522,0.999,0.557,0.322,0.298,Western Europe,2.394
6,Switzerland,7.48,1.452,1.526,1.052,0.572,0.263,0.343,Western Europe,2.272000000000001
7,Sweden,7.343,1.387,1.487,1.009,0.574,0.267,0.373,Western Europe,2.2459999999999996
8,New Zealand,7.307,1.303,1.557,1.026,0.585,0.33,0.38,Australia and New Zealand,2.1260000000000003
9,Canada,7.278,1.365,1.505,1.039,0.584,0.285,0.308,North America,2.192
10,Austria,7.246,1.376,1.475,1.016,0.532,0.244,0.226,Western Europe,2.3770000000000007
11,Australia,7.228,1.372,1.548,1.036,0.557,0.332,0.29,Australia and New Zealand,2.093
12,Costa Rica,7.167,1.034,1.441,0.963,0.558,0.144,0.093,Latin America and Caribbean,2.9339999999999993
13,Israel,7.139,1.276,1.455,1.029,0.371,0.261,0.082,Middle East and Northern Africa,2.665
14,Luxembourg,7.09,1.609,1.479,1.012,0.526,0.194,0.316,Western Europe,1.9540000000000006
15,United Kingdom,7.054,1.333,1.538,0.996,0.45,0.348,0.278,Western Europe,2.1110000000000007
16,Ireland,7.021,1.499,1.553,0.999,0.516,0.298,0.31,Western Europe,1.846
17,Germany,6.985,1.373,1.454,0.987,0.495,0.261,0.265,Western Europe,2.1500000000000004
18,Belgium,6.923,1.356,1.504,0.986,0.473,0.16,0.21,Western Europe,2.234
19,United States,6.892,1.433,1.457,0.874,0.454,0.28,0.128,North America,2.266
20,Czech Republic,6.852,1.269,1.487,0.92,0.457,0.046,0.036,Central and Eastern Europe,2.6370000000000005
21,United Arab Emirates,6.825,1.503,1.31,0.825,0.598,0.262,0.182,Middle East and Northern Africa,2.1450000000000005
22,Malta,6.726,1.3,1.52,0.999,0.564,0.375,0.151,Western Europe,1.8170000000000002
23,Mexico,6.595,1.07,1.323,0.861,0.433,0.074,0.073,Latin America and Caribbean,2.7610000000000006
24,France,6.592,1.324,1.472,1.045,0.436,0.111,0.183,Western Europe,2.021
25,Taiwan,6.446,1.368,1.43,0.914,0.351,0.242,0.097,Eastern Asia,2.0439999999999987
26,Chile,6.444,1.159,1.369,0.92,0.357,0.187,0.056,Latin America and Caribbean,2.396000000000001
27,Guatemala,6.436,0.8,1.269,0.746,0.535,0.175,0.078,Latin America and Caribbean,2.833
28,Saudi Arabia,6.375,1.403,1.357,0.795,0.439,0.08,0.132,Middle East and Northern Africa,2.1690000000000005
29,Qatar,6.374,1.684,1.313,0.871,0.555,0.22,0.167,Middle East and Northern Africa,1.564
30,Spain,6.354,1.286,1.484,1.062,0.362,0.153,0.079,Western Europe,1.9280000000000008
31,Panama,6.321,1.149,1.442,0.91,0.516,0.109,0.054,Latin America and Caribbean,2.140999999999999
32,Brazil,6.3,1.004,1.439,0.802,0.39,0.099,0.086,Latin America and Caribbean,2.4799999999999995
33,Uruguay,6.293,1.124,1.465,0.891,0.523,0.127,0.15,Latin America and Caribbean,2.013
34,Singapore,6.262,1.572,1.463,1.141,0.556,0.271,0.453,Southeastern Asia,0.8059999999999992
35,El Salvador,6.253,0.794,1.242,0.789,0.43,0.093,0.074,Latin America and Caribbean,2.831
36,Italy,6.223,1.294,1.488,1.039,0.231,0.158,0.03,Western Europe,1.9829999999999997
37,Bahrain,6.199,1.362,1.368,0.871,0.536,0.255,0.11,Middle East and Northern Africa,1.6969999999999992
38,Slovakia,6.198,1.246,1.504,0.881,0.334,0.121,0.014,Central and Eastern Europe,2.098
